# MJD Detrended_Magnitude Magnitude_Error Outlier_Flag
60042.489880 0.02157 0.01627 1
60051.475060 -0.00828 0.01631 1
60054.452200 -0.00481 0.01636 1
60056.455150 -0.00285 0.01639 1
60058.478620 0.00128 0.01643 1
60072.424820 -0.01901 0.01656 1
60076.420780 0.01764 0.01675 1
60078.392000 -0.01675 0.01666 1
60081.365810 -0.02829 0.01666 1
60083.437250 -0.00384 0.01677 1
60085.385070 0.00951 0.01685 1
60087.456410 0.00137 0.01685 1
60089.437370 0.02396 0.01696 1
60092.352790 -0.00199 0.01691 1
60100.458340 0.00735 0.01706 1
60103.439430 0.03230 0.01719 1
60110.361580 -0.00754 0.01714 1
60112.432060 0.00955 0.01724 1
60115.416320 -0.01447 0.01719 1
60118.417700 -0.02817 0.01718 1
60120.422900 -0.00437 0.01730 1
60122.439120 -0.00192 0.01734 1
60124.487850 0.01186 0.01743 1
60133.336030 -0.00738 0.01748 1
60135.327610 0.02046 0.01762 1
60139.430120 -0.01587 0.01753 1
60141.299410 -0.02093 0.01754 1
60143.429670 -0.02828 0.01754 1
60145.349930 0.02618 0.01780 1
60147.409870 0.01825 0.01779 1
60149.366840 -0.04388 0.01756 1
60151.455860 -0.00134 0.01777 1
60156.329060 0.01674 0.01792 1
60160.301740 0.01519 0.01798 1
60162.362210 0.01346 0.01800 1
60169.373650 -0.00856 0.01801 1
60171.343080 -0.01771 0.01800 1
60180.272720 0.05090 0.01846 1
60182.249370 -0.01053 0.01820 1
60184.235410 0.01715 0.01836 1
60186.198090 -0.00318 0.01829 1
60191.291440 0.00614 0.01842 1
60193.251840 -0.02471 0.01830 1
60195.333130 -0.01717 0.01837 1
60203.270680 0.00087 0.01858 1
60205.265580 0.00883 0.01865 1
60207.224800 0.00477 0.01866 1
60211.224330 0.02200 0.01882 1
60213.162930 -0.00874 0.01869 1
60215.182010 0.00038 0.01877 1
60217.135280 -0.02170 0.01869 1
60221.208070 0.02009 0.01897 1
60223.151820 0.02879 0.01905 1
60226.202070 0.02772 0.01910 1
60228.226770 0.00206 0.01900 1
60231.185040 -0.00363 0.01901 1
60233.203730 0.00914 0.01912 1
60235.179290 -0.01100 0.01904 1
60237.222060 -0.02066 0.01902 1
60239.181230 -0.00618 0.01913 1
60242.165310 0.04348 0.01946 1
60245.136150 0.00243 0.01928 1
60247.118530 -0.00058 0.01930 1
60249.136270 0.03171 0.01952 1
60251.123840 -0.00377 0.01935 1
60253.194760 -0.03114 0.01924 1
60255.123810 -0.02471 0.01930 1
60258.150690 -0.02207 0.01937 1
60260.154330 0.00566 0.01956 1
60262.153150 -0.01731 0.01947 1
60268.180720 0.01200 0.01975 1
60290.119150 -0.03251 0.01988 1
60390.495060 -0.05622 0.02176 1
60403.469160 0.00201 0.02252 1
60407.466350 -0.01540 0.02248 1
60422.477080 0.00838 0.02305 1
60428.444120 0.00156 0.02314 1
60433.477850 0.00632 0.02331 1
60443.451010 0.01319 0.02364 1
60446.422950 0.01521 0.02373 1
60449.445620 -0.00777 0.02360 1
60451.436580 0.02206 0.02393 1
60458.425570 -0.00908 0.02383 1
60460.425900 0.01450 0.02410 1
60463.448090 0.02366 0.02428 1
60469.442220 0.00515 0.02426 1
60471.414830 -0.01554 0.02411 1
60473.442620 0.04173 0.02474 1
60476.383270 0.01610 0.02456 1
60479.461470 -0.00385 0.02445 1
60482.422150 -0.00589 0.02451 1
60484.398810 -0.03569 0.02427 1
60489.442420 0.03502 0.02512 1
60491.460120 0.01762 0.02500 1
60500.424390 -0.01841 0.02488 1
60510.397260 -0.01105 0.02523 1
60515.336760 0.04496 0.02598 1
60518.389680 0.00852 0.02567 1
60520.335830 -0.00249 0.02560 1
60522.332420 -0.00778 0.02560 1
60525.238170 -0.03526 0.02538 1
60527.334950 -0.00002 0.02583 1
60529.305040 -0.01453 0.02572 1
60531.301240 0.00805 0.02603 1
60535.324320 -0.01105 0.02593 1
60537.342410 0.00145 0.02613 1
60543.315800 -0.04065 0.02582 1
60545.326150 0.04524 0.02687 1
60547.300530 0.00268 0.02642 1
60549.302260 -0.02027 0.02621 1
60551.284020 -0.02253 0.02624 1
60553.326060 -0.00451 0.02651 1
60556.269510 -0.00103 0.02663 1
60558.283270 0.05357 0.02735 1
60562.232620 -0.01224 0.02666 1
60564.269390 -0.00948 0.02675 1
60572.377720 -0.03611 0.02665 1
60579.287740 -0.03292 0.02687 1
60591.210120 0.00443 0.02764 1
60593.240790 0.01171 0.02778 1
60595.148220 -0.00002 0.02768 1
60597.196080 0.07281 0.02869 0
60602.242140 -0.02232 0.02758 1
60604.137220 0.01164 0.02806 1
60606.183540 -0.00193 0.02793 1
60610.142740 0.04434 0.02864 1
