oid,filter,mjd,mag,magerr,clrcoeff,ref,ref_err
641116100063310,zg,58254.44218,21.285624,0.18231046,-0.062449634,21.915,0.177
641216100035134,zr,58254.46401,21.246908,0.19594646,0.09549848,21.151,0.081
641216100035134,zr,58257.42128,20.947199,0.17530143,0.09990953,21.151,0.081
641216100035134,zr,58257.45576,21.316704,0.20075417,0.09540969,21.151,0.081
1685207200024460,zr,58257.48402,21.103886,0.19380355,0.10667995,21.254,0.091
1685207200024460,zr,58257.48447,20.853281,0.17597759,0.10806669,21.254,0.091
641216100035134,zr,58269.41503,20.631088,0.15352666,0.08754997,21.151,0.081
1685207200024460,zr,58285.3703,21.090275,0.19283533,0.09599988,21.254,0.091
1685207200024460,zr,58285.37076,21.132105,0.1958108,0.1009669,21.254,0.091
641216100035134,zr,58285.37167,21.248156,0.1960324,0.08455369,21.151,0.081
641216100035134,zr,58290.38189,21.160557,0.18999827,0.090973936,21.151,0.081
641216100035134,zr,58316.35741,21.084122,0.18473315,0.09350605,21.151,0.081
641216100035134,zr,58322.39454,21.065344,0.18343973,0.0821835,21.151,0.081
641216100035134,zr,58334.3563,21.156979,0.18975174,0.08778991,21.151,0.081
1685207200024460,zr,58338.35662,21.141817,0.19650161,0.10012055,21.254,0.091
641216100035134,zr,58343.32194,21.520164,0.21476924,0.10024204,21.151,0.081
1685207200024460,zr,58358.29244,21.187855,0.19977629,0.09788416,21.254,0.091
641216100035134,zr,58370.27957,20.865456,0.1696707,0.08926833,21.151,0.081
641116100063310,zg,58373.25998,21.49767,0.19590473,-0.054397285,21.915,0.177
641216100035134,zr,58373.28017,21.106335,0.1862632,0.097542286,21.151,0.081
641216100035134,zr,58379.23361,20.884212,0.17096269,0.0909894,21.151,0.081
641216100035134,zr,58439.1994,20.209091,0.1217388,0.09794571,21.151,0.081
1685207200024460,zr,58443.07698,20.84214,0.1751852,0.09809157,21.254,0.091
641116100063310,zg,58600.38138,22.131126,0.23651564,-0.042646922,21.915,0.177
641216100035134,zr,58616.42207,21.400414,0.20652044,0.09460095,21.151,0.081
641216100035134,zr,58633.42647,21.103706,0.18608224,0.0904833,21.151,0.081
641216100035134,zr,58639.40864,20.956936,0.17597222,0.08704265,21.151,0.081
641116100063310,zg,58642.4317,21.735476,0.21115041,-0.06835552,21.915,0.177
641216100035134,zr,58642.44557,21.077835,0.18430007,0.09208443,21.151,0.081
641216100035134,zr,58645.4728,20.985878,0.17796576,0.09255062,21.151,0.081
641216100035134,zr,58662.32744,21.176975,0.19112921,0.09353547,21.151,0.081
641116100063310,zg,58662.42944,21.617393,0.20358026,-0.063252956,21.915,0.177
641216100035134,zr,58665.42739,20.996563,0.17870188,0.09178888,21.151,0.081
641216100035134,zr,58668.34495,21.177753,0.19118285,0.08750738,21.151,0.081
641216100035134,zr,58675.42439,21.324585,0.20129704,0.092430934,21.151,0.081
641216100035134,zr,58675.43157,21.272789,0.19772923,0.095578685,21.151,0.081
641216100035134,zr,58675.43202,21.511532,0.21417463,0.08570659,21.151,0.081
641216100035134,zr,58676.41506,21.367573,0.2042582,0.098142266,21.151,0.081
641216100035134,zr,58677.31321,21.055365,0.18275225,0.0956869,21.151,0.081
641216100035134,zr,58677.36259,21.15524,0.18963194,0.09236389,21.151,0.081
641216100035134,zr,58677.38685,20.83424,0.16752052,0.09536529,21.151,0.081
641216100035134,zr,58677.39935,20.910894,0.17280066,0.09580456,21.151,0.081
641216100035134,zr,58678.38372,20.894901,0.17169905,0.08972906,21.151,0.081
641216100035134,zr,58678.39585,20.929588,0.17408836,0.08969205,21.151,0.081
641216100035134,zr,58678.46685,21.328503,0.20156693,0.08584117,21.151,0.081
641216100035134,zr,58680.36036,20.417942,0.13799575,0.083981745,21.151,0.081
641216100035134,zr,58681.31846,20.331373,0.13118309,0.0888224,21.151,0.081
641216100035134,zr,58683.31861,21.077736,0.18429327,0.087770194,21.151,0.081
641216100035134,zr,58685.36305,20.8877,0.1712029,0.08998277,21.151,0.081
1685207200024460,zr,58685.41623,20.886057,0.17830908,0.09486788,21.254,0.091
1685207200024460,zr,58685.41668,21.110622,0.19428265,0.08973214,21.254,0.091
641216100035134,zr,58688.38057,21.164402,0.19026315,0.09286041,21.151,0.081
641116100063310,zg,58690.30442,21.600183,0.20247686,-0.09050095,21.915,0.177
641216100035134,zr,58690.34039,21.345526,0.2027396,0.09402627,21.151,0.081
641216100035134,zr,58691.36141,21.016783,0.1800946,0.08880175,21.151,0.081
641216100035134,zr,58693.34854,21.098139,0.18569875,0.089085564,21.151,0.081
641116100063310,zg,58694.3352,22.111458,0.23525465,-0.079058774,21.915,0.177
641216100035134,zr,58697.34705,21.151934,0.18940425,0.09084041,21.151,0.081
641116100063310,zg,58699.33364,21.454786,0.19315553,-0.049221143,21.915,0.177
641116100063310,zg,58699.35959,21.418036,0.19079936,-0.0481917,21.915,0.177
641216100035134,zr,58700.30349,21.131508,0.18799722,0.091219805,21.151,0.081
641216100035134,zr,58700.34335,21.472387,0.21147823,0.09596291,21.151,0.081
641216100035134,zr,58700.35159,21.184975,0.1916802,0.08309178,21.151,0.081
641216100035134,zr,58701.30706,21.456121,0.21035779,0.09188343,21.151,0.081
641116100063310,zg,58701.33352,21.61902,0.20368457,-0.064728506,21.915,0.177
641216100035134,zr,58701.34298,21.000513,0.17897391,0.092190124,21.151,0.081
641216100035134,zr,58702.30624,20.980234,0.17757702,0.09087992,21.151,0.081
641216100035134,zr,58702.34324,21.224785,0.19442248,0.092057645,21.151,0.081
641216100035134,zr,58702.35146,20.998207,0.17881513,0.08263242,21.151,0.081
641116100063310,zg,58702.36898,21.582918,0.20137,-0.048671026,21.915,0.177
641216100035134,zr,58703.3434,21.364588,0.20405257,0.08279579,21.151,0.081
641216100035134,zr,58703.35161,21.274794,0.19786727,0.09286532,21.151,0.081
641216100035134,zr,58704.24826,21.217632,0.19392979,0.08881248,21.151,0.081
641216100035134,zr,58704.26293,20.956118,0.17591584,0.09140106,21.151,0.081
641216100035134,zr,58705.30288,20.991951,0.17838418,0.09229436,21.151,0.081
641116100063310,zg,58705.38289,21.29832,0.18312442,-0.076239765,21.915,0.177
641216100035134,zr,58706.28623,20.883774,0.17093253,0.088002145,21.151,0.081
641216100035134,zr,58706.36257,21.217476,0.19391906,0.08409456,21.151,0.081
641216100035134,zr,58706.37072,21.18609,0.19175708,0.08668967,21.151,0.081
641216100035134,zr,58707.21837,20.836151,0.16765213,0.09694643,21.151,0.081
641216100035134,zr,58707.36029,20.778503,0.16368115,0.09237078,21.151,0.081
641216100035134,zr,58708.27454,20.80588,0.16556692,0.08923928,21.151,0.081
641216100035134,zr,58714.27351,20.78077,0.1638372,0.09064107,21.151,0.081
641216100035134,zr,58714.30664,21.093277,0.18536377,0.08820716,21.151,0.081
641216100035134,zr,58714.32811,20.850574,0.16864562,0.09195719,21.151,0.081
641216100035134,zr,58715.34193,21.042837,0.1818893,0.09103732,21.151,0.081
641216100035134,zr,58716.34329,20.906448,0.17249441,0.08862501,21.151,0.081
641216100035134,zr,58730.25668,20.905216,0.17240953,0.095941626,21.151,0.081
