# MJD Detrended_Magnitude Magnitude_Error Outlier_Flag
60029.475120 0.01312 0.01744 1
60032.448540 0.02004 0.01756 1
60042.464130 0.01651 0.01783 1
60044.431940 0.00417 0.01782 1
60051.450600 -0.00396 0.01797 1
60054.462180 -0.03140 0.01790 1
60056.478280 0.02667 0.01829 1
60058.452520 -0.03487 0.01800 1
60065.425480 0.00803 0.01844 1
60072.461600 -0.00684 0.01855 1
60076.461780 0.02317 0.01885 1
60078.461730 -0.02483 0.01860 1
60081.411460 0.00051 0.01884 1
60083.463610 0.01731 0.01901 1
60085.459150 -0.00281 0.01894 1
60087.406540 0.03172 0.01922 1
60089.450870 -0.00528 0.01903 1
60092.395170 -0.00587 0.01911 1
60098.403300 -0.01813 0.01920 1
60100.427140 0.00958 0.01944 1
60103.404420 -0.01582 0.01935 1
60108.438610 -0.01337 0.01951 1
60110.354120 -0.01426 0.01956 1
60112.391870 0.01079 0.01979 1
60115.360440 0.00796 0.01985 1
60118.374170 -0.00595 0.01984 1
60120.408970 -0.01113 0.01986 1
60122.445900 -0.03181 0.01976 1
60124.424720 -0.02975 0.01983 1
60133.383600 0.02044 0.02046 1
60135.439080 0.01461 0.02047 1
60137.418980 -0.01992 0.02026 1
60139.362250 0.01993 0.02062 1
60143.381970 0.01645 0.02071 1
60145.312910 0.00098 0.02064 1
60147.452930 0.00646 0.02074 1
60149.407660 -0.00608 0.02069 1
60151.401000 0.00133 0.02081 1
60156.360740 -0.05400 0.02050 1
60160.284490 -0.00349 0.02101 1
60162.345180 -0.01406 0.02098 1
60169.337440 0.00142 0.02130 1
60171.272080 -0.01367 0.02122 1
60173.315890 -0.02531 0.02118 1
60182.304160 0.01682 0.02179 1
60184.320240 -0.00283 0.02167 1
60186.235940 0.00909 0.02183 1
60191.185660 0.01246 0.02199 1
60193.295630 -0.01591 0.02179 1
60195.285680 0.01491 0.02213 1
60198.269770 -0.00324 0.02204 1
60201.190360 0.00077 0.02216 1
60203.393830 -0.02386 0.02199 1
60205.209580 0.01809 0.02243 1
60207.174000 -0.00667 0.02225 1
60211.154000 -0.01691 0.02226 1
60213.189860 -0.00607 0.02241 1
60215.238560 -0.00495 0.02248 1
60217.154900 -0.00873 0.02249 1
60221.218320 0.01823 0.02287 1
60223.196500 0.02082 0.02295 1
60226.217610 0.00364 0.02286 1
60228.162770 0.07258 0.02362 1
60231.159210 -0.01664 0.02279 1
60233.156270 -0.00731 0.02294 1
60235.139820 0.01916 0.02326 1
60237.167430 -0.02872 0.02283 1
60239.133390 0.01828 0.02336 1
60245.204720 0.02395 0.02359 1
60247.146430 0.02874 0.02369 1
60249.173910 0.00632 0.02351 1
60251.183980 -0.00827 0.02341 1
60253.143720 0.05858 0.02419 1
60255.144360 -0.02022 0.02339 1
60258.118900 0.01205 0.02381 1
60260.120530 0.04741 0.02426 1
60268.131900 -0.01410 0.02380 1
60285.141020 0.03776 0.02486 1
60288.161550 0.23044 0.02743 0
60290.155670 -0.01480 0.02439 1
60351.549010 -0.00826 0.02618 1
60351.549480 -0.03123 0.02586 1
60351.549960 0.00498 0.02637 1
60352.549600 0.04204 0.02693 1
60353.548250 -0.05919 0.02555 1
60353.548720 -0.03584 0.02586 1
60353.549190 -0.02812 0.02597 1
60354.553520 -0.04637 0.02581 1
60354.553980 0.00389 0.02646 1
60354.554450 0.00786 0.02651 1
60355.555540 0.02988 0.02683 1
60355.556010 0.00548 0.02651 1
60355.556490 0.10584 0.02790 0
60356.556890 -0.00240 0.02643 1
60356.557370 0.02098 0.02675 1
60356.557840 -0.02044 0.02620 1
60357.553170 -0.00111 0.02648 1
60357.553650 -0.02717 0.02614 1
60357.554110 -0.00272 0.02646 1
60403.518120 0.03856 0.02850 1
60407.487030 -0.00695 0.02796 1
60422.406860 0.03922 0.02915 1
60428.465390 -0.00917 0.02861 1
60430.456090 0.03383 0.02934 1
60433.447650 -0.01085 0.02875 1
60443.384640 -0.05891 0.02836 1
60446.455360 -0.02262 0.02901 1
60449.383660 -0.00715 0.02936 1
60451.384170 -0.01629 0.02928 1
60455.390750 -0.00335 0.02962 1
60458.387530 -0.00816 0.02965 1
60460.391170 -0.02094 0.02952 1
60463.410020 -0.01257 0.02976 1
60469.404960 0.01062 0.03035 1
60471.372230 -0.01142 0.03006 1
60473.403670 0.01998 0.03065 1
60476.458540 -0.00285 0.03038 1
60479.364940 -0.00531 0.03044 1
60482.362000 -0.03012 0.03014 1
60484.348290 -0.01031 0.03054 1
60487.411900 0.03412 0.03142 1
60489.365120 -0.03393 0.03033 1
60491.417670 -0.01688 0.03068 1
60500.383190 0.01954 0.03165 1
60503.384700 -0.02225 0.03103 1
60505.383970 0.04867 0.03236 1
60508.323220 -0.02306 0.03119 1
60510.358200 -0.01709 0.03137 1
60515.408210 0.04259 0.03264 1
60518.301890 0.01670 0.03227 1
60520.364890 0.01073 0.03224 1
60522.285870 0.04677 0.03298 1
60525.280580 -0.03557 0.03159 1
60527.261420 -0.02287 0.03189 1
60529.291560 0.05072 0.03333 1
60531.279140 -0.01332 0.03221 1
60535.296030 0.01450 0.03288 1
60537.303230 0.01910 0.03304 1
60539.307440 -0.11145 0.03077 0
60543.296210 0.01562 0.03320 1
60545.261570 0.03658 0.03368 1
60547.417860 0.01716 0.03339 1
60549.355890 -0.01460 0.03285 1
60551.253760 -0.03564 0.03253 1
60553.370580 0.05253 0.03431 1
60556.243410 0.02468 0.03387 1
60558.302890 -0.01711 0.03313 1
60562.336800 -0.00848 0.03345 1
60566.209960 -0.02125 0.03334 1
60569.193710 -0.04758 0.03295 1
60572.193460 0.04889 0.03496 1
60579.238330 0.05408 0.03534 1
60593.192700 -0.03779 0.03397 1
60595.203080 -0.00210 0.03476 1
60597.145160 -0.02319 0.03440 1
60599.329470 -0.03107 0.03431 1
60604.186540 0.00421 0.03520 1
60606.152280 -0.00489 0.03507 1
60608.166680 -0.04730 0.03428 1
60610.166090 0.04227 0.03621 1
